Sample.ID,Full_ID,Year,Phal_YesNo,Plant_Species,Plant_Species_MorphologyID,Site,long_site_name,lat_dec,lon_dec,elev,MAP,YTD_rainfall,YTD_LT,YTD_HT,spring_LT,spring_HT,MLT,MHT,soil_moisture,road,shrub,grass,rock,NH4_ugperg,NO3_ugperg,pH_extracts,DOC_mgperg,Site_Gradient,Alt_Host,ExchangeC4orHallii,Sample_Type,Keep
26,BRE13,13,no,,,BRE,BREECO,30.299011,-98.096681,400,850,353.28,4.86,34.13,6.85,34.13,12.88,25.84,0.164884537,0,0.38,0.5,0.12,0.08665,0.11767,8.02,0.28034,10,soil,,soil,yes
53,BREECOM13,13,no,Sporobolus clandestinus,Sporobolus clandestinus,BRE,BREECO,30.299011,-98.096681,400,850,353.28,4.86,34.13,6.85,34.13,12.88,25.84,0.164884537,0,0.38,0.5,0.12,0.08665,0.11767,8.02,0.28034,10,monocot,yes,C4grass,yes
54,BREECOH13,13,yes,Panicum hallii,Panicum hallii,BRE,BREECO,30.299011,-98.096681,400,850,353.28,4.86,34.13,6.85,34.13,12.88,25.84,0.164884537,0,0.38,0.5,0.12,0.08665,0.11767,8.02,0.28034,10,,,hallii,yes
55,BREECOC13,13,no,Ischaemum afrum,Ischaemum afrum,BRE,BREECO,30.299011,-98.096681,400,850,353.28,4.86,34.13,6.85,34.13,12.88,25.84,0.164884537,0,0.38,0.5,0.12,0.08665,0.11767,8.02,0.28034,10,C4grass,,C4grass,no
56,BREECOD13,13,no,Wedelia texana,Wedelia texana,BRE,BREECO,30.299011,-98.096681,400,850,353.28,4.86,34.13,6.85,34.13,12.88,25.84,0.164884537,0,0.38,0.5,0.12,0.08665,0.11767,8.02,0.28034,10,dicot,,dicot,yes
32,CAS13,13,no,,,CAS,CASECO,30.152647,-99.987919,685,662.1,272.79,2.14,32.31,5.71,32.31,11.7,25.02,0.070665083,0.02,0.46,0.42,0.1,4.05976,1.94428,7.68,0.05985,5,soil,,,no
93,CASECOM13,13,no,Digitaria hitchcockii,Bouteloua reflexa,CAS,CASECO,30.152647,-99.987919,685,662.1,272.79,2.14,32.31,5.71,32.31,11.7,25.02,0.070665083,0.02,0.46,0.42,0.1,4.05976,1.94428,7.68,0.05985,5,monocot,,,no
94,CASECOH13,13,yes,Panicum hallii,Panicum hallii,CAS,CASECO,30.152647,-99.987919,685,662.1,272.79,2.14,32.31,5.71,32.31,11.7,25.02,0.070665083,0.02,0.46,0.42,0.1,4.05976,1.94428,7.68,0.05985,5,,,,no
95,CASECOC13,13,no,Digitaria hitchcockii,Bouteloua hirsuta,CAS,CASECO,30.152647,-99.987919,685,662.1,272.79,2.14,32.31,5.71,32.31,11.7,25.02,0.070665083,0.02,0.46,0.42,0.1,4.05976,1.94428,7.68,0.05985,5,C4grass,,,no
96,CASECOD13,13,no,Salvia personata,Salvia personata,CAS,CASECO,30.152647,-99.987919,685,662.1,272.79,2.14,32.31,5.71,32.31,11.7,25.02,0.070665083,0.02,0.46,0.42,0.1,4.05976,1.94428,7.68,0.05985,5,dicot,,,no
