"","dist.type","sourceType","runs","mean","sd","CV"
"1","BRE","C4grass",10,0.738539327617177,0.0790209221521427,10.6996227820522
"2","COL","C4grass",10,0.0526083455397265,0.00682798648221717,12.9789036552406
"3","DRI","C4grass",10,0.0797150884382017,0.0117784628218645,14.7757006266081
"4","FLA","C4grass",10,0.0272271270152479,0.00356750643771465,13.1027648848766
"5","HAN","C4grass",10,0.0963001640180572,0.0128180487691103,13.3105160305924
"6","HIB","C4grass",10,0.585204655580659,0.0357139061741581,6.10280622916808
"7","KCA","C4grass",10,0.564743180504816,0.0659013760495011,11.6692646010515
"8","KER","C4grass",10,0.0211316245248788,0.00284256088449841,13.4516912372344
"9","LBJ","C4grass",10,0.0586958276428565,0.00726497584022487,12.3773292446436
"10","SCA","C4grass",10,0.526031303266453,0.0490518023717119,9.32488277163715
"11","BRE","dicot",10,0.0904855508892448,0.0336662517741174,37.2062184992665
"12","COL","dicot",10,0.685465496303774,0.0214180803637685,3.12460371517764
"13","DRI","dicot",10,0.913230340075042,0.0121436940482826,1.32975148934328
"14","FLA","dicot",10,0.969313807958268,0.00374474607639192,0.386329591680917
"15","HAN","dicot",10,0.157327446270867,0.0152989548691576,9.72427585382514
"16","HIB","dicot",10,0.199486355657704,0.0387462696795294,19.4230174548948
"17","KCA","dicot",10,0.0792576241689401,0.022941268631775,28.9451883933273
"18","KER","dicot",10,0.0249719110417328,0.00398568797167214,15.960684646887
"19","LBJ","dicot",10,0.0730979127479929,0.00934125786270645,12.7791034128576
"20","SCA","dicot",10,0.426890053480338,0.0447297209036358,10.4780424230934
"21","BRE","soil",10,0.00225521450922871,0.000399405338112769,17.7103036752529
"22","COL","soil",10,0.00287318554855446,0.000464978453216526,16.1833771386767
"23","DRI","soil",10,0.00189807301444546,0.000447265835050094,23.564205994508
"24","FLA","soil",10,0.000702251509630353,0.000221615767202609,31.5578911776582
"25","HAN","soil",10,0.0021950185200636,0.00029551600516773,13.4630301506143
"26","HIB","soil",10,0.00762840948836212,0.00129305546515866,16.950525101351
"27","KCA","soil",10,0.00249197252487896,0.000320719416333813,12.8701024241586
"28","KER","soil",10,0.00176564701765566,0.000191981303624784,10.8731417834403
"29","LBJ","soil",10,0.00211476351163651,0.000389078343079165,18.3981963438587
"30","SCA","soil",10,0.00379614152969431,0.000625166240448644,16.4684650337309
"31","BRE","Unknown",10,0.168719906984349,0.0469593472893706,27.8327247381227
"32","COL","Unknown",10,0.259052972607945,0.0197699986341368,7.63164322536342
"33","DRI","Unknown",10,0.00515649847231056,0.00363556672660573,70.5045632443809
"34","FLA","Unknown",10,0.00275681351685311,0.0014336828062933,52.0050702569771
"35","HAN","Unknown",10,0.744177371191013,0.0212458008264716,2.85493776738587
"36","HIB","Unknown",10,0.207680579273274,0.0123212480171922,5.93278777452727
"37","KCA","Unknown",10,0.353507222801365,0.045764545536748,12.9458586939433
"38","KER","Unknown",10,0.952130817415733,0.00626858591243852,0.658374437396394
"39","LBJ","Unknown",10,0.866091496097514,0.0154816860970101,1.78753470814209
"40","SCA","Unknown",10,0.0432825017235146,0.00773860856230522,17.8793005352114
