"","dist.type","sourceType","runs","mean","sd","numInRegion","avgSpatRegion","sdSpatRegion","CV"
"1","BRE","C4grass",10,0.714309791286518,0.0501191738509209,4,30.0675,12.7287139308468,7.01644783010086
"2","COL","C4grass",10,0.0470906875537714,0.00791221245870552,5,51.608,28.5822107262542,16.8020746133103
"3","DRI","C4grass",10,0.363804172599118,0.0623416593856904,3,69.64,35.3803434126917,17.1360484791322
"4","FLA","C4grass",10,0.305947026994382,0.0897502367779883,2,111.38,4.20021428024809,29.3352210870271
"5","HAN","C4grass",10,0.212058592732343,0.0330274612560773,4,32.105,22.2271283195408,15.5746866139793
"6","HIB","C4grass",10,0.469967899044945,0.0292737753254218,3,96.7566666666667,13.9863373809348,6.22888826766916
"7","KCA","C4grass",10,0.32388443301244,0.0477675438628209,3,85.74,24.6147780814697,14.7483296491086
"8","KER","C4grass",10,0.0261958281520859,0.0045208105006234,5,54.35,22.1213324643883,17.2577498767238
"9","LBJ","C4grass",10,0.0351324230012031,0.00356349141478111,4,39.86,25.7534502542863,10.1430277514849
"10","SCA","C4grass",10,0.260971106291332,0.0849186401451294,3,79.5433333333333,37.9403430840225,32.5394796963965
"11","BRE","dicot",10,0.159161317182183,0.0456017040368571,4,30.0675,12.7287139308468,28.6512482079169
"12","COL","dicot",10,0.822251205208268,0.0488715429147008,5,51.608,28.5822107262542,5.94362679010268
"13","DRI","dicot",10,0.631886034395667,0.0612997768498999,3,69.64,35.3803434126917,9.7010811306388
"14","FLA","dicot",10,0.691689398540932,0.0893707888007766,2,111.38,4.20021428024809,12.9206532569818
"15","HAN","dicot",10,0.110032099335072,0.0159299972960814,4,32.105,22.2271283195408,14.4775909869456
"16","HIB","dicot",10,0.322508027492376,0.0240772074344454,3,96.7566666666667,13.9863373809348,7.46561492489194
"17","KCA","dicot",10,0.222339484301766,0.0325822026679488,3,85.74,24.6147780814697,14.6542584508864
"18","KER","dicot",10,0.030666130189004,0.0054761482699461,5,54.35,22.1213324643883,17.8573176210857
"19","LBJ","dicot",10,0.0898715874257618,0.0143667248471466,4,39.86,25.7534502542863,15.9858363011715
"20","SCA","dicot",10,0.351878011795747,0.0773415609269276,3,79.5433333333333,37.9403430840225,21.979651565106
"21","BRE","soil",10,0.00337078399799286,0.000514936721291569,4,30.0675,12.7287139308468,15.2764674805087
"22","COL","soil",10,0.00636837701203772,0.0016640372105411,5,51.608,28.5822107262542,26.1296906165524
"23","DRI","soil",10,0.00130818800762375,0.000377003920965171,3,69.64,35.3803434126917,28.8187874195526
"24","FLA","soil",10,0.000521675994782801,0.000306777350120318,2,111.38,4.20021428024809,58.8061082335299
"25","HAN","soil",10,0.00347110103852246,0.000889538386507132,4,32.105,22.2271283195408,25.626980506617
"26","HIB","soil",10,0.00422551653932496,0.000682064235776571,3,96.7566666666667,13.9863373809348,16.1415587758067
"27","KCA","soil",10,0.00167736500040056,0.000538312914103372,3,85.74,24.6147780814697,32.0927713392626
"28","KER","soil",10,0.00232744201284041,0.000283750479103731,5,54.35,22.1213324643883,12.191516589384
"29","LBJ","soil",10,0.00328249955377141,0.000477733103610169,4,39.86,25.7534502542863,14.5539426825292
"30","SCA","soil",10,0.00173755700441336,0.000271536330904178,3,79.5433333333333,37.9403430840225,15.6274775569654
"31","BRE","Unknown",10,0.123158107533306,0.00813098371200034,4,30.0675,12.7287139308468,6.60206938451165
"32","COL","Unknown",10,0.124289730225923,0.0566760073847617,5,51.608,28.5822107262542,45.599911820342
"33","DRI","Unknown",10,0.00300160499759146,0.00270368637321983,3,69.64,35.3803434126917,90.0746892209106
"34","FLA","Unknown",10,0.00184189846990286,0.00126253294436365,2,111.38,4.20021428024809,68.5451975227623
"35","HAN","Unknown",10,0.674438206894063,0.0232893291797697,4,32.105,22.2271283195408,3.45314499411624
"36","HIB","Unknown",10,0.203298556923355,0.0187721649694476,3,96.7566666666667,13.9863373809348,9.23379154950166
"37","KCA","Unknown",10,0.452098717685394,0.0177830799456072,3,85.74,24.6147780814697,3.9334506491527
"38","KER","Unknown",10,0.94081059964607,0.00919298449727514,5,54.35,22.1213324643883,0.977134452006973
"39","LBJ","Unknown",10,0.871713490019264,0.0149534978433333,4,39.86,25.7534502542863,1.71541429776461
"40","SCA","Unknown",10,0.385413324908508,0.0141802876544297,3,79.5433333333333,37.9403430840225,3.67924167069105
