"","domain","phylum","class","order","family","genus","species"
"ASV1","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria alternata"
"ASV3","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Epicoccum","Epicoccum sorghi"
"ASV16","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Fusarium avenaceum"
"ASV17","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Davidiella","Davidiella_tassiana|SH196750.06FU"
"ASV23","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Ascomycota_sp|SH217298.06FU"
"ASV49","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Setosphaeria","Exserohilum rostratum"
"ASV66","Fungi","Ascomycota","Sordariomycetes","Sordariales","","",""
"ASV67","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Davidiella","Davidiella macrospora"
"ASV68","Fungi","Ascomycota","Sordariomycetes","Trichosphaeriales","Trichosphaeriales_Incertae sedis","Sordariomycetes_unidentified_1","Sordariomycetes_sp|SH237076.06FU"
"ASV71","Fungi","Ascomycota","Sordariomycetes","","","",""
"ASV77","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_Incertae sedis","Phoma","Phoma paspali"
"ASV79","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Pezizaceae_unidentified",""
"ASV82","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",""
"ASV83","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","Sphaerulina_pseudovirgaureae|SH212655.06FU"
"ASV89","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Kabatiella","Ascomycota_sp|SH219194.06FU"
"ASV94","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Bionectria","Bionectria epichloe"
"ASV100","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Pleosporales_unidentified_1","Pleosporales_sp|SH206992.06FU"
"ASV104","Fungi","","","","","",""
"ASV105","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus magnus"
"ASV112","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Fusarium equiseti"
"ASV113","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Claviceps","Claviceps pusilla"
"ASV125","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella",""
"ASV129","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria phragmitis"
"ASV131","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae_sedis_13","Letendraea","Letendraea_sp|SH203350.06FU"
"ASV136","Fungi","Zygomycota","Mucoromycotina_Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella alpina"
"ASV139","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Pachyphloeus","Pachyphloeus_sp|SH226680.06FU"
"ASV141","Fungi","Ascomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Thanatephorus","Thanatephorus_cucumeris|SH235414.06FU"
"ASV142","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",""
"ASV144","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV156","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus chernovii"
"ASV159","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Fusarium equiseti"
"ASV163","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolales_Incertae sedis","Sporobolomyces","Sporobolomyces vermiculatus"
"ASV167","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeriopsis","Phaeosphaeria oryzae"
"ASV169","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","Humicola fuscoatra"
"ASV172","Fungi","Ascomycota","Sordariomycetes","Sordariomycetidae_Incertae sedis","Glomerellaceae","Glomerella","Colletotrichum coccodes"
"ASV176","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Pleosporaceae_sp|SH224818.06FU"
"ASV181","Fungi","Ascomycota","Sordariomycetes","Hypocreales","","",""
"ASV184","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_unidentified","Pleosporales_unidentified_1","Pleosporales_sp|SH238736.06FU"
"ASV185","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neostagonospora","Neostagonospora_elegiae|SH206982.06FU"
"ASV193","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora","Podospora intestinacea"
"ASV194","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium","Ceratobasidium_sp_JTO092|SH224054.06FU"
"ASV197","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Sclerostagonospora","Sclerostagonospora sp CBS 118152"
"ASV198","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeriopsis","Phaeosphaeria oryzae"
"ASV204","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium","Ceratobasidium sp AG_Bo"
"ASV225","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Cochliobolus","Bipolaris spicifera"
"ASV228","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_unidentified","Pleosporales_unidentified_1","Pleosporales_sp|SH231238.06FU"
"ASV231","Fungi","Chytridiomycota","","","","",""
"ASV237","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Lewia","Alternaria_metachromatica|SH224792.06FU"
"ASV238","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis",""
"ASV242","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_Incertae sedis","Myrothecium","Myrothecium leucotrichum"
"ASV248","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Bionectria","Bionectria epichloe"
"ASV254","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","Tuber mexiusanum"
"ASV255","Fungi","Ascomycota","","","","",""
"ASV258","Fungi","","","","","",""
"ASV260","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_unidentified","Pleosporales_unidentified_1","Pleosporales_sp|SH223798.06FU"
"ASV262","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis",""
"ASV263","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis_rosea|SH205068.06FU"
