"","SampleID","Env","SourceSink","SiteYear","id"
"1","X26","soil","source","BRE_13",1
"2","X53","C4grass","source","BRE_13",1
"3","X54","","sink","BRE_13",1
"4","X56","dicot","source","BRE_13",1
"5","X16","soil","source","COL_13",2
"6","X70","","sink","COL_13",2
"7","X71","C4grass","source","COL_13",2
"8","X72","dicot","source","COL_13",2
"9","X118","","sink","DRI_13",3
"10","X119","C4grass","source","DRI_13",3
"11","X120","dicot","source","DRI_13",3
"12","X34","soil","source","DRI_13",3
"13","X12","soil","source","FLA_13",4
"14","X134","","sink","FLA_13",4
"15","X135","C4grass","source","FLA_13",4
"16","X136","dicot","source","FLA_13",4
"17","X22","soil","source","HAN_13",5
"18","X46","","sink","HAN_13",5
"19","X47","C4grass","source","HAN_13",5
"20","X48","dicot","source","HAN_13",5
"21","X30","soil","source","HIB_13",6
"22","X78","","sink","HIB_13",6
"23","X79","C4grass","source","HIB_13",6
"24","X80","dicot","source","HIB_13",6
"25","X109","C4grass","source","KCA_13",7
"26","X110","","sink","KCA_13",7
"27","X112","dicot","source","KCA_13",7
"28","X18","soil","source","KCA_13",7
"29","X14","soil","source","KER_13",8
"30","X86","","sink","KER_13",8
"31","X87","C4grass","source","KER_13",8
"32","X88","dicot","source","KER_13",8
"33","X20","soil","source","LBJ_13",9
"34","X38","","sink","LBJ_13",9
"35","X39","C4grass","source","LBJ_13",9
"36","X40","dicot","source","LBJ_13",9
"37","X126","","sink","SCA_13",10
"38","X127","C4grass","source","SCA_13",10
"39","X128","dicot","source","SCA_13",10
"40","X36","soil","source","SCA_13",10
