ASV,fwd_rev,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s
ASV1,+,Fungi,100%,Ascomycota,99%,Dothideomycetes,99%,Pleosporales,99%,Pleosporaceae,99%,Alternaria,99%,Alternaria_eichhorniae|SH224789.06FU,99%
ASV3,+,Fungi,100%,Ascomycota,99%,Ascomycota_unidentified,99%,Ascomycota_unidentified_1,99%,Ascomycota_unidentified_1,99%,Ascomycota_unidentified_1_1,99%,Ascomycota_sp|SH202146.06FU,99%
ASV4,+,Fungi,100%,Ascomycota,98%,Ascomycota_unidentified,96%,Ascomycota_unidentified_1,96%,Ascomycota_unidentified_1,96%,Ascomycota_unidentified_1_1,96%,Ascomycota_sp|SH217298.06FU,96%
ASV5,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Davidiellaceae,100%,Davidiella,100%,Davidiella_tassiana|SH196750.06FU,100%
ASV6,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Nectriaceae,100%,Fusarium,91%,Fusarium_sporotrichioides|SH217307.06FU,91%
ASV7,+,Fungi,100%,Ascomycota,77%,Sordariomycetes,75%,Xylariales,58%,Incertae_sedis_9,57%,Microdochium,57%,Microdochium_sp|SH216932.06FU,42%
ASV8,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Pleosporaceae_unidentified,100%,Pleosporaceae_sp|SH224795.06FU,89%
ASV9,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,97%,Pleosporaceae,97%,Curvularia,50%,Curvularia_sp_LH3|SH224856.06FU,34%
ASV12,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Pleosporaceae_unidentified,100%,Pleosporaceae_sp|SH224805.06FU,92%
ASV14,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Dothideales,100%,Dothioraceae,100%,Aureobasidium,95%,Aureobasidium_pullulans|SH206629.06FU,77%
ASV16,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,64%,Ascomycota_unidentified_1,64%,Ascomycota_unidentified_1,64%,Ascomycota_unidentified_1_1,64%,Ascomycota_sp|SH219457.06FU,64%
ASV17,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Davidiellaceae,100%,Davidiella,100%,Davidiella_tassiana|SH196750.06FU,100%
ASV22,+,Fungi,100%,Ascomycota,76%,Leotiomycetes,33%,Helotiales,29%,Helotiales_unidentified,29%,Helotiales_unidentified_1,29%,Helotiales_sp|SH207340.06FU,23%
ASV23,+,Fungi,100%,Ascomycota,90%,Ascomycota_unidentified,86%,Ascomycota_unidentified_1,86%,Ascomycota_unidentified_1,86%,Ascomycota_unidentified_1_1,86%,Ascomycota_sp|SH217298.06FU,86%
ASV25,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Incertae_sedis_13,100%,Ascochyta,99%,Ascochyta_hordei|SH233954.06FU,98%
ASV30,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Trichosphaeriales,86%,Incertae_sedis_26,86%,Incertae_sedis_26_unidentified,86%,Trichosphaeriales_sp|SH237078.06FU,49%
ASV32,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Pleosporaceae_unidentified,100%,Pleosporaceae_sp|SH224855.06FU,100%
ASV33,+,Fungi,100%,Ascomycota,100%,Leotiomycetes,100%,Erysiphales,100%,Erysiphaceae,100%,Golovinomyces,100%,Golovinomyces_biocellatus|SH212546.06FU,99%
ASV35,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Incertae_sedis_13,67%,Ascochyta,63%,Ascochyta_sp|SH233952.06FU,63%
ASV37,+,Fungi,100%,Ascomycota,60%,Dothideomycetes,45%,Pleosporales,44%,Incertae_sedis_13,44%,Phoma,44%,Phoma_brasiliensis|SH202145.06FU,44%
ASV42,+,Fungi,100%,Ascomycota,99%,Ascomycota_unidentified,95%,Ascomycota_unidentified_1,95%,Ascomycota_unidentified_1,95%,Ascomycota_unidentified_1_1,95%,Ascomycota_sp|SH217298.06FU,95%
ASV43,+,Fungi,100%,Ascomycota,100%,Incertae_sedis_14,100%,Incertae_sedis_15,100%,Incertae_sedis_16,100%,Wojnowicia,100%,Wojnowicia_viburni|SH207003.06FU,100%
ASV49,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Pleosporaceae_unidentified,100%,Pleosporaceae_sp|SH224796.06FU,100%
ASV50,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,63%,Epicoccum,63%,Epicoccum_nigrum|SH197545.06FU,63%
ASV57,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,63%,Capnodiales,63%,Davidiellaceae,63%,Davidiella,63%,Davidiella_tassiana|SH196750.06FU,63%
