"","dist","cols","rows"
"1",10.8,"LBJ_13","HAN_13"
"2",25.91,"LBJ_13","BRE_13"
"3",57.78,"LBJ_13","COL_13"
"4",147.52,"LBJ_13","HIB_13"
"5",64.95,"LBJ_13","KER_13"
"6",256.01,"LBJ_13","KCA_13"
"7",303.25,"LBJ_13","DRI_13"
"8",337.64,"LBJ_13","SCA_13"
"9",371.56,"LBJ_13","FLA_13"
"10",10.8,"HAN_13","LBJ_13"
"11",15.49,"HAN_13","BRE_13"
"12",46.99,"HAN_13","COL_13"
"13",137.8,"HAN_13","HIB_13"
"14",55.14,"HAN_13","KER_13"
"15",246.84,"HAN_13","KCA_13"
"16",293.35,"HAN_13","DRI_13"
"17",328.01,"HAN_13","SCA_13"
"18",360.89,"HAN_13","FLA_13"
"19",25.91,"BRE_13","LBJ_13"
"20",15.49,"BRE_13","HAN_13"
"21",33.08,"BRE_13","COL_13"
"22",127.51,"BRE_13","HIB_13"
"23",45.79,"BRE_13","KER_13"
"24",237.56,"BRE_13","KCA_13"
"25",282.26,"BRE_13","DRI_13"
"26",317.56,"BRE_13","SCA_13"
"27",347.33,"BRE_13","FLA_13"
"28",57.78,"COL_13","LBJ_13"
"29",46.99,"COL_13","HAN_13"
"30",33.08,"COL_13","BRE_13"
"31",96.98,"COL_13","HIB_13"
"32",23.21,"COL_13","KER_13"
"33",207.59,"COL_13","KCA_13"
"34",250.29,"COL_13","DRI_13"
"35",286.13,"COL_13","SCA_13"
"36",314.27,"COL_13","FLA_13"
"37",147.52,"HIB_13","LBJ_13"
"38",137.8,"HIB_13","HAN_13"
"39",127.51,"HIB_13","BRE_13"
"40",96.98,"HIB_13","COL_13"
"41",82.66,"HIB_13","KER_13"
"42",110.63,"HIB_13","KCA_13"
"43",155.85,"HIB_13","DRI_13"
"44",190.23,"HIB_13","SCA_13"
"45",233.42,"HIB_13","FLA_13"
"46",64.95,"KER_13","LBJ_13"
"47",55.14,"KER_13","HAN_13"
"48",45.79,"KER_13","BRE_13"
"49",23.21,"KER_13","COL_13"
"50",82.66,"KER_13","HIB_13"
"51",192.03,"KER_13","KCA_13"
"52",238.31,"KER_13","DRI_13"
"53",272.88,"KER_13","SCA_13"
"54",308.9,"KER_13","FLA_13"
"55",256.01,"KCA_13","LBJ_13"
"56",246.84,"KCA_13","HAN_13"
"57",237.56,"KCA_13","BRE_13"
"58",207.59,"KCA_13","COL_13"
"59",110.63,"KCA_13","HIB_13"
"60",192.03,"KCA_13","KER_13"
"61",61.41,"KCA_13","DRI_13"
"62",85.18,"KCA_13","SCA_13"
"63",166.76,"KCA_13","FLA_13"
"64",303.25,"DRI_13","LBJ_13"
"65",293.35,"DRI_13","HAN_13"
"66",282.26,"DRI_13","BRE_13"
"67",250.29,"DRI_13","COL_13"
"68",155.85,"DRI_13","HIB_13"
"69",238.31,"DRI_13","KER_13"
"70",61.41,"DRI_13","KCA_13"
"71",39.1,"DRI_13","SCA_13"
"72",108.41,"DRI_13","FLA_13"
"73",337.64,"SCA_13","LBJ_13"
"74",328.01,"SCA_13","HAN_13"
"75",317.56,"SCA_13","BRE_13"
"76",286.13,"SCA_13","COL_13"
"77",190.23,"SCA_13","HIB_13"
"78",272.88,"SCA_13","KER_13"
"79",85.18,"SCA_13","KCA_13"
"80",39.1,"SCA_13","DRI_13"
"81",114.35,"SCA_13","FLA_13"
"82",371.56,"FLA_13","LBJ_13"
"83",360.89,"FLA_13","HAN_13"
"84",347.33,"FLA_13","BRE_13"
"85",314.27,"FLA_13","COL_13"
"86",233.42,"FLA_13","HIB_13"
"87",308.9,"FLA_13","KER_13"
"88",166.76,"FLA_13","KCA_13"
"89",108.41,"FLA_13","DRI_13"
"90",114.35,"FLA_13","SCA_13"
